抓取日期,代號,名稱,賣回日期,賣回金額,賣回收益率(%)
2026-08-31,14364,華友聯四,116/03/18,103.0225,1.5000
2026-08-31,32723,東碩三,116/03/07,100.7518,0.2500
2026-08-31,15984,岱宇四,116/03/03,102.0100,1.0000
2026-08-31,68541,錼創科技一KY創,116/02/27,101.0025,0.5000
2026-08-31,99063,欣巴巴三,116/02/27,103.0225,1.5000
2026-08-31,45102,高鋒二,116/02/26,100.5006,0.2500
2026-08-31,30954,及成四,116/02/25,100.0000,0.0000
2026-08-31,35266,凡甲六,116/01/29,100.0000,0.0000
2026-08-31,60152,宏遠證二,116/01/05,101.5075,0.5000
2026-08-31,13166,上曜六,115/12/27,100.5000,0.2500
2026-08-31,24424,新美齊四,115/12/25,100.5000,0.2500
2026-08-31,49794,華星光四,115/12/25,100.0000,0.0000
2026-08-31,52452,智晶二,115/12/18,100.5000,0.2500
2026-08-31,24271,三商電一,115/12/13,101.5100,0.5000
2026-08-31,49793,華星光三,115/12/09,101.0025,0.5000
2026-08-31,84891,三貝德一,115/12/09,100.2001,0.1000
2026-08-31,53887,中磊七,115/12/06,100.0000,0.0000
2026-08-31,66451,金萬林一創,115/12/04,102.0100,1.0000
2026-08-31,13382,廣華二KY,115/12/01,106.1208,2.0000
2026-08-31,24423,新美齊三,115/11/29,100.5000,0.2500
2026-08-31,33466,麗清六,115/11/27,100.5000,0.2500
2026-08-31,99412,裕融二,115/11/20,100.0000,0.0000
2026-08-31,98026,鈺齊六KY,115/11/15,101.0025,0.5000
2026-08-31,61894,豐藝四,115/11/10,100.7519,0.2500
2026-08-31,99588,世紀鋼八永,115/11/08,100.5000,0.2500
2026-08-31,68741,倍力一,115/11/04,100.0000,0.0000
2026-08-31,68351,圓裕一,115/11/01,100.0000,0.0000
2026-08-31,99587,世紀鋼七,115/10/28,100.5000,0.2500
2026-08-31,99353,慶豐富三,115/10/14,100.0000,0.0000
2026-08-31,21043,國際中橡三,115/10/13,100.9000,0.3000
2026-08-31,44163,三圓三,115/09/30,102.0100,0.5000
2026-08-31,66163,特昇三KY,115/09/20,101.5100,0.5000
2026-08-31,66292,泰金二KY,115/09/13,101.0025,0.5000
2026-08-31,61112,光聚晶電二,115/09/10,100.5000,0.2500
2026-08-31,45421,科嶠一,115/09/06,100.2502,0.1250
2026-08-31,33225,建舜電五,115/09/02,101.0025,0.5000
